indices,season,team,name,age,height,weight,pcs points,uci points,pcs points till tdf,uci points till tdf,race days till tdf,tdf attended,vuelta attended,giro attended,last season pcs points,last season uci points
136,2010,6,1117,33.0,1.8,63.0,176.0,2.0,87.0,2.0,46,False,False,False,39.0,0.0
137,2010,6,451,33.0,1.75,65.0,58.0,0.0,13.0,0.0,8,False,False,False,0.0,0.0
138,2010,6,1621,33.0,1.78,73.0,9.0,0.0,9.0,0.0,21,False,False,False,5.0,0.0
139,2010,6,1089,44.0,1.79,63.0,634.0,73.0,324.0,43.0,57,True,False,False,581.0,0.0
140,2010,6,1199,39.0,1.78,71.0,431.0,62.0,176.0,33.0,49,False,True,False,583.0,91.0
141,2010,6,1444,37.0,1.77,63.0,154.0,0.0,38.0,0.0,30,False,True,False,18.0,5.0
142,2010,6,841,52.0,1.85,73.0,135.0,7.0,76.0,7.0,47,False,False,False,164.0,9.0
143,2010,6,1662,34.0,1.84,74.0,121.0,0.0,31.0,0.0,43,False,True,False,16.0,0.0
144,2010,6,282,43.0,1.8,68.0,251.0,0.0,144.0,0.0,48,True,False,False,304.0,0.0
145,2010,6,520,38.0,1.82,73.0,328.0,7.0,195.0,5.0,44,True,False,False,584.0,12.0
146,2010,6,821,36.0,1.88,73.0,254.0,3.0,155.0,3.0,47,True,False,False,363.0,0.0
147,2010,6,923,43.0,1.74,61.0,507.0,144.0,283.0,144.0,46,True,True,False,592.0,0.0
148,2010,6,214,40.0,1.86,70.0,317.0,2.0,237.0,2.0,45,True,False,False,150.0,0.0
149,2010,6,1561,41.0,1.85,72.0,289.0,21.0,207.0,21.0,45,True,False,False,372.0,0.0
150,2010,6,194,37.0,1.83,65.0,85.0,5.0,26.0,5.0,30,False,True,False,181.0,0.0
151,2010,6,1642,42.0,1.83,77.0,193.0,4.0,68.0,1.0,42,False,True,False,151.0,0.0
152,2010,6,98,38.0,1.8,67.0,264.0,4.0,154.0,4.0,48,True,True,False,205.0,0.0
153,2010,6,202,42.0,1.78,66.0,74.0,32.0,69.0,32.0,39,False,False,False,365.0,67.0
154,2010,6,1011,36.0,1.89,69.0,310.0,54.0,63.0,4.0,33,False,True,False,202.0,0.0
155,2010,6,694,39.0,1.84,70.0,24.0,0.0,24.0,0.0,23,False,False,False,101.0,25.0
156,2010,6,472,37.0,1.82,65.0,180.0,0.0,120.0,0.0,47,True,False,False,258.0,0.0
157,2010,6,106,42.0,1.71,62.0,35.0,0.0,30.0,0.0,41,False,False,False,22.0,0.0
158,2010,6,1569,39.0,1.71,59.0,65.0,2.0,15.0,0.0,41,False,True,False,76.0,0.0
159,2010,6,268,40.0,1.78,67.0,15.0,0.0,10.0,0.0,42,False,False,False,56.0,0.0
160,2010,6,1632,39.0,1.87,77.0,5.0,0.0,5.0,0.0,14,False,False,False,30.0,0.0
161,2010,6,1270,35.0,,,20.0,0.0,20.0,0.0,13,False,False,False,4.0,0.0
162,2010,7,995,49.0,1.85,70.0,1270.0,182.0,491.0,85.0,42,True,True,True,971.0,80.0
163,2010,7,1652,42.0,1.69,58.0,760.0,133.0,457.0,121.0,45,True,False,True,1243.0,0.0
164,2010,7,753,34.0,1.75,63.0,221.0,12.0,16.0,11.0,32,False,False,False,7.0,0.0
165,2010,7,1422,52.0,1.7,59.0,20.0,0.0,20.0,0.0,26,False,False,True,182.0,12.0
166,2010,7,792,49.0,1.84,73.0,472.0,29.0,296.0,29.0,56,True,True,True,445.0,0.0
167,2010,7,750,39.0,1.71,65.0,654.0,30.0,379.0,14.0,45,True,False,False,736.0,90.0
168,2010,7,1423,37.0,1.76,68.0,587.0,110.0,490.0,110.0,42,True,False,False,101.0,0.0
169,2010,7,1453,38.0,1.77,69.0,687.0,114.0,205.0,19.0,33,True,True,False,554.0,0.0
170,2010,7,1057,35.0,1.74,68.0,30.0,0.0,15.0,0.0,7,False,False,False,12.0,0.0
171,2010,7,939,43.0,1.72,62.0,254.0,10.0,116.0,10.0,38,False,True,False,167.0,10.0
172,2010,7,1274,43.0,1.85,70.0,113.0,0.0,0.0,0.0,0,False,True,False,10.0,0.0
173,2010,7,1118,36.0,1.78,63.0,86.0,0.0,14.0,0.0,24,False,False,False,57.0,0.0
174,2010,7,1352,43.0,1.74,61.0,295.0,5.0,139.0,5.0,35,False,True,False,450.0,24.0
175,2010,7,1622,46.0,1.72,72.0,177.0,0.0,49.0,0.0,33,False,True,False,209.0,0.0
176,2010,7,1278,35.0,1.82,68.0,188.0,0.0,144.0,0.0,37,True,False,False,35.0,0.0
177,2010,7,1122,44.0,1.83,72.0,33.0,0.0,33.0,0.0,25,False,False,False,99.0,0.0
178,2010,7,696,37.0,1.76,68.0,37.0,0.0,0.0,0.0,27,False,False,False,153.0,0.0
179,2010,7,1519,42.0,1.75,71.0,199.0,7.0,76.0,1.0,47,True,False,False,166.0,3.0
180,2010,7,1690,43.0,1.71,58.0,126.0,0.0,50.0,0.0,52,False,True,True,236.0,56.0
181,2010,7,1358,47.0,1.8,70.0,104.0,6.0,65.0,6.0,54,False,True,True,108.0,0.0
182,2010,7,1234,36.0,,,6.0,0.0,6.0,0.0,10,False,False,False,6.0,0.0
183,2010,7,1324,47.0,1.79,82.0,42.0,0.0,32.0,0.0,21,False,False,False,59.0,0.0
184,2010,7,57,48.0,1.79,67.0,41.0,0.0,35.0,0.0,48,False,False,True,26.0,0.0
185,2010,7,419,39.0,1.71,60.0,55.0,0.0,50.0,0.0,56,False,False,True,44.0,0.0
186,2010,7,471,43.0,1.82,71.0,55.0,2.0,55.0,2.0,53,False,False,True,115.0,0.0
187,2010,7,803,42.0,1.81,72.0,64.0,0.0,19.0,0.0,44,True,False,False,57.0,0.0
188,2010,7,336,37.0,,,7.0,0.0,0.0,0.0,8,False,False,False,1.0,0.0
189,2010,7,1552,34.0,1.86,72.0,10.0,0.0,0.0,0.0,32,False,False,False,29.0,0.0
190,2010,7,499,37.0,,,21.0,0.0,15.0,0.0,17,False,False,False,13.0,0.0
191,2010,7,675,35.0,1.69,58.0,21.0,0.0,10.0,0.0,33,False,False,False,39.0,0.0
192,2010,8,1030,33.0,1.82,78.0,911.0,179.0,593.0,105.0,38,False,False,False,88.0,0.0
193,2010,8,1217,38.0,1.81,65.0,2012.0,210.0,940.0,142.0,50,False,True,True,1058.0,185.0
194,2010,8,140,45.0,1.82,70.0,890.0,206.0,751.0,206.0,44,True,False,True,1092.0,0.0
195,2010,8,718,34.0,1.78,67.0,298.0,24.0,37.0,0.0,35,False,False,False,4.0,0.0
196,2010,8,951,43.0,1.83,71.0,615.0,93.0,260.0,58.0,38,False,True,False,852.0,130.0
