season,team,name,age,height,weight,pcs points,uci points,pcs points till tdf,uci points till tdf,race days till tdf,tdf attended,vuelta attended,giro attended,last season pcs points,last season uci points
2010,Footon-Servetto,GUTIÉRREZ Mario,35,,,0.0,0.0,0.0,0.0,8,False,False,False,0.0,0.0
2010,Francaise des Jeux,PINOT Thibaut,33,1.8,63,176.0,2.0,87.0,2.0,46,False,False,False,39.0,0.0
2010,Francaise des Jeux,BOUHANNI Nacer,33,1.75,65,58.0,0.0,13.0,0.0,8,False,False,False,0.0,0.0
2010,Francaise des Jeux,BENNETT Sam,33,1.78,73,9.0,0.0,9.0,0.0,21,False,False,False,5.0,0.0
2010,Francaise des Jeux,CASAR Sandy,44,1.79,63,634.0,73.0,324.0,43.0,57,True,False,False,581.0,0.0
2010,Francaise des Jeux,HUTAROVICH Yauheni,39,1.78,71,431.0,62.0,176.0,33.0,49,False,True,False,583.0,91.0
2010,Francaise des Jeux,MEERSMAN Gianni,37,1.77,63,154.0,0.0,38.0,0.0,30,False,True,False,18.0,5.0
2010,Francaise des Jeux,GUESDON Frédéric,52,1.85,73,135.0,7.0,76.0,7.0,47,False,False,False,164.0,9.0
2010,Francaise des Jeux,VICHOT Arthur,34,1.84,74,121.0,0.0,31.0,0.0,43,False,True,False,16.0,0.0
2010,Francaise des Jeux,GESLIN Anthony,43,1.8,68,251.0,0.0,144.0,0.0,48,True,False,False,304.0,0.0
2010,Francaise des Jeux,LADAGNOUS Matthieu,38,1.82,73,328.0,7.0,195.0,5.0,44,True,False,False,584.0,12.0
2010,Francaise des Jeux,ROUX Anthony,36,1.88,73,254.0,3.0,155.0,3.0,47,True,False,False,363.0,0.0
2010,Francaise des Jeux,LE MÉVEL Christophe,43,1.74,61,507.0,144.0,283.0,144.0,46,True,True,False,592.0,0.0
2010,Francaise des Jeux,ROY Jérémy,40,1.86,70,317.0,2.0,237.0,2.0,45,True,False,False,150.0,0.0
2010,Francaise des Jeux,VAUGRENARD Benoît,41,1.85,72,289.0,21.0,207.0,21.0,45,True,False,False,372.0,0.0
2010,Francaise des Jeux,CHEREL Mikaël,37,1.83,65,85.0,5.0,26.0,5.0,30,False,True,False,181.0,0.0
2010,Francaise des Jeux,CHAVANEL Sébastien,42,1.83,77,193.0,4.0,68.0,1.0,42,False,True,False,151.0,0.0
2010,Francaise des Jeux,DI GRÉGORIO Rémy,38,1.8,67,264.0,4.0,154.0,4.0,48,True,True,False,205.0,0.0
2010,Francaise des Jeux,VEIKKANEN Jussi,42,1.78,66,74.0,32.0,69.0,32.0,39,False,False,False,365.0,67.0
2010,Francaise des Jeux,OFFREDO Yoann,36,1.89,69,310.0,54.0,63.0,4.0,33,False,True,False,202.0,0.0
2010,Francaise des Jeux,GÉRARD Arnaud,39,1.84,70,24.0,0.0,24.0,0.0,23,False,False,False,101.0,25.0
2010,Francaise des Jeux,SULZBERGER Wesley,37,1.82,65,180.0,0.0,120.0,0.0,47,True,False,False,258.0,0.0
2010,Francaise des Jeux,MOUREY Francis,42,1.71,62,35.0,0.0,30.0,0.0,41,False,False,False,22.0,0.0
2010,Francaise des Jeux,CAZAUX Pierre,39,1.71,59,65.0,2.0,15.0,0.0,41,False,True,False,76.0,0.0
2010,Francaise des Jeux,BONNAIRE Olivier,40,1.78,67,15.0,0.0,10.0,0.0,42,False,False,False,56.0,0.0
2010,Francaise des Jeux,GUDSELL Timothy,39,1.87,77,5.0,0.0,5.0,0.0,14,False,False,False,30.0,0.0
2010,Francaise des Jeux,CAPDEPUY Nicolas,35,,,20.0,0.0,20.0,0.0,13,False,False,False,4.0,0.0
2010,Lampre - Farnese Vini,PETACCHI Alessandro,49,1.85,70,1270.0,182.0,491.0,85.0,42,True,True,True,971.0,80.0
