,season,age,height,weight,pcs points till tdf,uci points till tdf,race days till tdf,tdf attended,vuelta attended,giro attended,last season pcs points,last season uci points,team__AG2R Prevoyance,team__Accent.jobs – Willems Veranda’s,team__Argos - Shimano,team__Astana Pro Team,team__BKCP - Powerplus,team__BMC Racing Team,team__Bahrain Merida Pro Cycling Team,team__Bonjour - Toupargel,"team__Cofidis, le Crédit par Téléphone",team__Cycling Academy Team,team__EF Education First,team__Euskadi - Petronor,team__FDJ,team__Fondas P3 Transfer Team,team__Fortuneo - Oscaro,team__Geox-TMC Transformers,team__HTC - High Road,team__IAM Cycling,team__Lampre - Daikin,team__Liquigas-Pata,team__Lotto - Super Club,team__Movistar Team,team__Quick-Step Floors,team__RadioShack,team__Sky Procycling,team__Superconfex - Yoko - Opel,team__Team Dimension Data,team__Team Home - Jack & Jones,team__Team Jayco AlUla,team__Team Katusha ,team__Team Milram,team__Team NetApp - Endura,team__Trek Factory Racing 
28,2010,0.625,0.39534883720930214,0.5116279069767442,0.029082774049217,0.0,0.5138888888888888,False,False,False,0.030764723117491944,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29,2010,0.4375,0.510822335783228,0.4899762644920538,0.01174496644295302,0.0,0.09722222222222221,False,False,False,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30,2010,0.4375,0.5813953488372094,0.4651162790697674,0.0,0.0,0.2222222222222222,False,False,False,0.0043949604453559915,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
31,2010,0.625,0.39534883720930214,0.30232558139534893,0.5805369127516778,0.11208099951923911,0.41666666666666663,True,False,False,0.5687078816290654,0.023570898292501856,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32,2010,0.9375,0.41860465116279055,0.4651162790697674,0.49049217002237133,0.06052953204010588,0.5555555555555556,True,False,True,0.13096982127160856,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
33,2010,0.71875,0.3023255813953485,0.5813953488372092,0.05704697986577181,0.0,0.611111111111111,False,True,False,0.3287430413126282,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
34,2010,0.65625,0.3488372093023253,0.39534883720930236,0.15771812080536912,0.01824574410778311,0.5138888888888888,False,True,True,0.09405215353061823,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
35,2010,0.625,0.5116279069767442,0.5116279069767442,0.07662192393736018,0.0,0.7638888888888888,True,False,True,0.1116319953120422,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36,2010,0.8125,0.41860465116279055,0.44186046511627897,0.027404921700223715,0.0,0.5972222222222222,False,False,False,0.01992382068561383,0.0011135857461024498,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
37,2010,0.625,0.3488372093023253,0.2790697674418605,0.043064876957494405,0.001737689915026963,0.4722222222222222,True,False,False,0.06035745678288895,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
